,Nama Stasiun,Elevasi,Jarak,latitude,longitude,T,pu_gpm,pu_station
0,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,2,93.68724853093813,87.41407578588871
1,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,3,108.2301397873141,98.37376393665352
2,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,4,117.53775415604463,105.38808791876687
3,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,5,124.42778366025215,110.58049246779879
4,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,6,129.90755510124967,114.71011051087325
5,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,7,134.45970790661698,118.14066460647524
6,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,8,138.3542287033278,121.07561974546147
7,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,9,141.75780190419982,123.64059119592896
8,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,10,144.78069273807827,125.91867608765146
9,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,11,147.4996850475799,127.9677395971789
10,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,12,149.97041604013845,129.82971055642673
11,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,13,152.23450089219023,131.53595063537108
12,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,14,154.3238859074179,133.11053493158087
13,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,15,156.263632051301,134.57234967349382
14,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,16,158.07376302796501,135.93648495213583
15,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,17,159.770531734538,137.21518913551915
16,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,18,161.36731191926802,138.41854083233454
17,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,19,162.87524080310283,139.55493317887806
18,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,20,164.30369176933777,140.6314300633425
19,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,21,165.6606283678078,141.6540329074001
20,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,22,166.95287370314446,142.6278836802553
21,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,23,168.1863183821131,143.55742161012117
22,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,24,169.3660831098268,144.44650571857488
23,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,25,170.49664731242754,145.29851175207182
24,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,26,171.5819519660917,146.11640967505315
25,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,27,172.62548260232833,146.9028262236819
26,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,28,173.6303369068386,147.660095849112
27,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,29,174.59928022163507,148.39030254451592
28,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,30,175.53479145904475,149.0953144463997
29,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,31,176.43910134939267,149.77681265849148
30,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,32,177.31422450917768,150.43631541868376
31,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,33,178.1619864905986,151.0751984838634
32,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,34,178.98404672653174,151.69471242150775
33,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,35,179.78191809650338,152.29599735482384
34,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,36,180.55698369382253,152.88009559864997
35,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,37,181.31051126103878,153.4479625381813
36,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,38,182.04366567236238,154.00047603586293
37,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,39,182.757519771829,154.53844459915456
38,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,40,183.45306382048722,155.06261450003808
39,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,41,184.1312137615031,155.5736760036944
40,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,42,184.7928184763653,156.07226883686204
41,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,43,185.43866617647288,156.55898700461046
42,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,44,186.06949005087364,157.03438304653974
43,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,45,186.68597327168507,157.4989718089229
44,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,46,187.2887534429215,157.95323379739233
45,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,47,187.87842656538794,158.39761816492904
46,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,48,188.45555057947564,158.83254538175368
47,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,49,189.02064853866074,159.25840962691106
48,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,50,189.574211458964,159.67558093565546
49,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,51,190.11670088328373,160.08440713196123
50,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,52,190.6485511941715,160.48521557145648
51,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,53,191.17017170409474,160.87831471666914
52,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,54,191.6819485483949,161.26399556358137
53,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,55,192.1842464028766,161.64253293602474
54,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,56,192.67741004517146,162.01418666234116
55,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,57,193.16176577662426,162.37920264693304
56,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,58,193.63762271939174,162.73781384777118
57,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,59,194.1052740016708,163.09024116959668
58,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,60,194.5649978424379,163.43669428139248
59,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,61,195.0170585457554,163.77737236570414
60,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,62,195.46170741354075,164.11246480651312
61,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,63,195.89918358469782,164.4421518216154
62,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,64,196.32971480762217,164.76660504479065
63,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,65,196.75351815233353,165.08598806247298
64,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,66,197.17080066780582,165.40045690912257
65,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,67,197.58175998948448,165.71016052505752
66,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,68,197.98658490144913,166.01524118010593
67,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,69,198.38545585722653,166.31583486609676
68,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,70,198.778545462853,166.61207166090088
69,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,71,199.16601892541973,166.90407606645994
70,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,72,199.54803447002132,167.19196732300372
71,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,73,199.92474372774018,167.4758597014395
72,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,74,200.29629209705098,167.7558627757103
73,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,75,200.66281908079526,168.03208167674325
74,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,76,201.02445860068877,168.3046173294655
75,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,77,201.38133929112993,168.5735666742218
76,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,78,201.7335847739245,168.83902287381017
77,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,79,202.08131391539615,169.10107550724314
78,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,80,202.42464106722036,169.35981075124312
79,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,81,202.76367629220124,169.6153115503903
80,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,82,203.0985255761103,169.8676577767668
81,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,83,203.42929102660213,170.1169263798617
82,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,84,203.75607106014837,170.36319152744665
83,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,85,204.07896057783842,170.6065247380613
84,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,86,204.39805113083983,170.84699500570613
85,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,87,204.71343107623554,171.08466891728315
86,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,88,205.0251857239021,171.31961076328497
87,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,89,205.3333974750429,171.55188264219512
88,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,90,205.6381459529362,171.7815445590211
89,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,91,205.9395081264171,172.00865451835188
90,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,92,206.2375584265751,172.2332686123025
91,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,93,206.53236885710803,172.4554411036781
92,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,94,206.82400909873977,172.67522450466424
93,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,95,207.11254660808575,172.892669651333
94,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,96,207.39804671131338,173.10782577422665
95,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,97,207.68057269292115,173.32074056526258
96,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,98,207.9601858799441,173.53146024119155
97,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,99,208.2369457218611,173.7400296038164
98,Stasiun Klimatologi Aceh Besar,374.972,16.39701,5.45,95.45,100,208.51090986646375,173.94649209716823
99,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,2,167.24637997535064,166.68914286706723
100,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,3,189.84599266108836,186.43482287070094
101,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,4,204.3099995805718,199.07228069681244
102,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,5,215.01708632442183,208.4272511361348
103,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,6,223.53263594861477,215.86743696022597
104,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,7,230.60666878527587,222.04814415509128
105,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,8,236.6587433040637,227.33594835191036
106,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,9,241.9478866202898,231.95716610762292
107,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,10,246.64545059382007,236.0615105628916
108,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,11,250.87075710316333,239.75323534645017
109,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,12,254.71026621439253,243.10788214219872
110,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,13,258.2286477962931,246.1819541545359
111,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,14,261.47554631620244,249.01882662973821
112,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,15,264.489906444983,251.6525262132791
113,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,16,267.30284496332115,254.11024018499035
114,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,17,269.93961882828546,256.4140359935082
115,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,18,272.4210108075686,258.58207190933746
116,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,19,274.7643281116407,260.629469547368
117,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,20,276.9841369521506,262.5689556634999
118,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,21,279.09281266345937,264.4113428055244
119,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,22,281.1009583312444,266.16589507631573
120,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,23,283.01772794208455,267.8406104753201
121,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,24,284.8510790575263,269.44244166434146
122,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,25,286.607972693373,270.97747060560033
123,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,26,288.29453311567454,272.451048178307
124,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,27,289.91617683073076,273.86790687950116
125,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,28,291.4777176335317,275.2322526067261
126,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,29,292.98345285789674,276.5478400162959
127,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,30,294.4372347267081,277.81803486325225
128,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,31,295.84252978870506,279.04586593233915
129,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,32,297.2024687523406,280.23406857872203
130,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,33,298.51988852066944,281.3851214546104
131,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,34,299.79736784777987,282.5012776629112
132,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,35,301.0372577442606,283.58459132302085
133,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,36,302.2417075332785,284.6369403364798
134,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,37,303.41268728324036,285.6600459867848
135,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,38,304.5520072054387,286.65548988745354
136,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,39,305.6613344965301,287.6247286975953
137,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,40,306.74220801943795,288.56910694887426
138,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,41,307.7960511473026,289.48986826749524
139,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,42,308.8241830396035,290.38816522635045
140,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,43,309.82782857466907,291.2650680232283
141,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,44,310.8081271262465,292.12157214905744
142,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,45,311.766140341912,292.95860518404044
143,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,46,312.7028590565358,293.77703283807045
144,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,47,313.61920945371617,294.57766433408483
145,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,48,314.516058571274,295.3612572183122
146,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,49,315.3942192328608,296.12852166910585
147,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,50,316.25445447601123,296.8801243658112
148,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,51,317.0974815371096,297.616691970501
149,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,52,317.9239754454363,298.33881426815753
150,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,53,318.7345722714309,299.0470470047367
151,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,54,319.52987206834314,299.74191445734107
152,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,55,320.3104415413622,300.4239117662846
153,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,56,321.07681647397163,301.0935070550421
154,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,57,321.8295039375564,301.75114336082135
155,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,58,322.56898430709083,302.3972403957059
156,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,59,323.2957131029802,303.0321961559041
157,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,60,324.0101226767423,303.6563883945588
158,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,61,324.71262375615714,304.2701759717719
159,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,62,325.40360686370775,304.8739000939212
160,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,63,326.08344362058745,305.46788545299444
161,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,64,326.7524879471715,306.0524412754627
162,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,65,327.4110771696686,306.62786228918105
163,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,66,328.05953304161017,307.19442961588203
164,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,67,328.69816268793033,307.7524115960347
165,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,68,329.3272594785652,308.3020645521241
166,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,69,329.9471038377952,308.84363349578723
167,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,70,330.55796399492203,309.37735278369377
168,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,71,331.1600966813072,309.90344672656005
169,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,72,331.7537477783091,310.42213015526335
170,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,73,332.33915292020936,310.9336089476295
171,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,74,332.9165380558343,311.4380805191313
172,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,75,333.4861199722129,311.9357342804175
173,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,76,334.0481067833201,312.4267520643367
174,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,77,334.6026983866543,312.9113085248574
175,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,78,335.15008689015895,313.3895715100762
176,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,79,335.69045701177134,313.8617024113114
177,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,80,336.2239864536781,314.327856490096
178,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,81,336.7508462531715,314.7881831847274
179,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,82,337.2712011118468,315.2428263978928
180,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,83,337.78520970471595,315.69192476674755
181,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,84,338.2930249707031,316.13561191672545
182,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,85,338.79479438583775,316.57401670023376
183,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,86,339.2906602203807,317.0072634213069
184,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,87,339.78075978099366,317.43547204719596
185,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,88,340.2652256389882,317.85875840779295
186,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,89,340.7441858456061,318.277234383725
187,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,90,341.2177641352009,318.6910080838782
188,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,91,341.68608011712877,319.1001840130556
189,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,92,342.1492494570965,319.5048632304241
190,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,93,342.60738404865094,319.9051434993483
191,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,94,343.0605921754436,320.30111942916335
192,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,95,343.508978664868,320.69288260941084
193,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,96,343.95264503360704,321.08052173700634
194,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,97,344.3916896255958,321.46412273677953
195,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,98,344.82620774287693,321.84376887580515
196,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,99,345.25629176977543,322.2195408718966
197,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,8.538146,0.9267116,3.95,96.15,100,345.68203129079984,322.59151699661805
198,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,2,106.82106140315636,93.86617053235875
199,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,3,124.06486079727203,108.15344165255027
200,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,4,135.10108682569754,117.2974562521191
201,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,5,143.27073373397675,124.06637983253665
202,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,6,149.76820922137256,129.44983343017597
203,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,7,155.1657885887284,133.9219731281407
204,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,8,159.78360042344522,137.7480400033528
205,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,9,163.81928579469448,141.09178865972515
206,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,10,167.4035884076194,144.06154619617297
207,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,11,170.62755241261968,146.73274682710212
208,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,12,173.5571479683744,149.1600498257591
209,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,13,176.24171902867994,151.38433889937784
210,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,14,178.71914496995288,153.43699883203982
211,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,15,181.01914108427195,155.3426500930883
212,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,16,183.16544988136098,157.12096443036407
213,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,17,185.17734274905538,158.78790906411677
214,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,18,187.07067721031058,160.35662267246374
215,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,19,188.8586588925665,161.83804671762192
216,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,20,190.55240200539401,163.24138982709823
217,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,21,192.16134909040312,164.5744755755564
218,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,22,193.69359044033126,165.8440071380415
219,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,23,195.15611066639354,167.05577158223042
220,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,24,196.55498149189253,168.21479960669527
221,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,25,197.89551426272436,169.32549190278587
222,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,26,199.1823818738041,170.39172017621172
223,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,27,200.41971719012156,171.41690869335764
224,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,28,201.6111932000719,172.4041006919594
225,Stasiun Meteorologi Malikussaleh,9.639886,1.021287,5.15,96.95,29,202.7600888254376,173.356012907663
